,datetime,open,close,high,low,volume,openinterest
18650,20210517  09:20,580.99,580.5,581.0,580.0,87,
18651,20210517  09:25,580.05,575.51,580.05,575.51,379,
18652,20210517  09:30,575.81,580.97,581.31,573.3,8569,
18653,20210517  09:35,580.95,581.86,584.8,580.03,5689,
18654,20210517  09:40,581.85,580.97,584.01,578.29,3856,
18655,20210517  09:45,581.1,586.67,589.03,580.64,6398,
18656,20210517  09:50,586.9,583.02,589.73,582.63,4496,
18657,20210517  09:55,582.94,581.75,585.3,581.25,2762,
18658,20210517  10:00,581.56,578.25,581.83,576.81,4144,
18659,20210517  10:05,578.47,577.3,579.94,576.24,2656,
18660,20210517  10:10,576.96,578.95,580.75,576.9,2770,
18661,20210517  10:15,579.0,579.95,580.82,576.95,2646,
18662,20210517  10:20,579.88,581.47,582.87,579.14,3793,
18663,20210517  10:25,581.27,577.68,583.2,577.23,3034,
18664,20210517  10:30,577.4,577.39,578.48,576.38,2007,
18665,20210517  10:35,577.41,581.5,582.54,577.0,3042,
18666,20210517  10:40,581.38,582.42,584.18,581.0,3494,
18667,20210517  10:45,582.35,581.51,582.84,579.84,2204,
18668,20210517  10:50,581.6,579.67,583.13,579.14,2189,
18669,20210517  10:55,579.28,578.8,580.32,578.0,1997,
18670,20210517  11:00,578.8,578.79,579.95,577.45,2193,
18671,20210517  11:05,578.99,576.54,579.86,576.1,2117,
18672,20210517  11:10,576.52,576.2,576.75,574.72,2579,
18673,20210517  11:15,576.27,575.33,577.74,575.0,2190,
18674,20210517  11:20,575.22,577.57,578.35,575.22,2008,
18675,20210517  11:25,577.57,576.79,578.88,576.12,1691,
18676,20210517  11:30,576.71,576.78,577.41,575.5,1587,
18677,20210517  11:35,576.8,576.84,577.9,576.04,1205,
18678,20210517  11:40,576.73,579.27,579.57,576.4,1781,
18679,20210517  11:45,579.14,578.33,580.87,577.26,2523,
18680,20210517  11:50,578.12,576.29,578.5,575.49,1861,
18681,20210517  11:55,576.26,574.46,576.26,573.89,2326,
18682,20210517  12:00,574.33,575.53,576.6,573.9,1678,
18683,20210517  12:05,575.19,574.2,576.39,573.5,1770,
18684,20210517  12:10,574.23,574.0,575.79,573.85,1430,
18685,20210517  12:15,574.06,574.61,575.58,573.5,1769,
18686,20210517  12:20,574.7,576.3,576.76,574.42,1462,
18687,20210517  12:25,576.43,575.48,576.49,575.26,897,
18688,20210517  12:30,575.58,572.69,575.58,572.32,2729,
18689,20210517  12:35,572.61,574.51,574.78,572.54,1760,
18690,20210517  12:40,574.49,575.76,576.6,574.41,1758,
18691,20210517  12:45,575.62,574.14,576.46,573.85,1427,
18692,20210517  12:50,574.0,574.49,575.31,573.68,1111,
18693,20210517  12:55,574.49,572.64,574.5,572.5,1531,
18694,20210517  13:00,572.51,572.89,573.77,571.58,2297,
18695,20210517  13:05,572.81,570.8,572.88,570.5,2357,
18696,20210517  13:10,570.75,568.35,571.07,568.15,2804,
18697,20210517  13:15,568.36,568.44,569.22,566.78,2938,
18698,20210517  13:20,568.42,568.21,569.12,566.22,3298,
18699,20210517  13:25,568.21,568.71,569.3,566.65,2287,
18700,20210517  13:30,568.79,567.58,569.0,565.93,2413,
18701,20210517  13:35,567.42,564.97,568.89,564.27,2990,
18702,20210517  13:40,564.96,565.1,565.64,563.34,2999,
18703,20210517  13:45,565.19,566.22,566.64,564.35,2037,
18704,20210517  13:50,566.13,565.18,566.44,564.25,1948,
18705,20210517  13:55,565.18,564.67,566.66,564.67,1836,
18706,20210517  14:00,564.68,566.73,567.0,564.53,1710,
18707,20210517  14:05,566.55,567.7,568.0,565.73,2181,
18708,20210517  14:10,567.94,566.6,568.73,566.02,2081,
18709,20210517  14:15,566.6,565.23,566.6,564.48,1917,
18710,20210517  14:20,565.12,564.73,567.66,564.56,2384,
18711,20210517  14:25,564.73,562.21,565.0,561.93,4140,
18712,20210517  14:30,562.19,564.2,564.39,562.04,2980,
18713,20210517  14:35,564.23,562.32,564.77,561.2,3300,
18714,20210517  14:40,562.14,563.61,564.36,561.92,2844,
18715,20210517  14:45,563.62,565.16,565.75,562.96,2559,
18716,20210517  14:50,565.02,567.84,567.84,564.71,3035,
18717,20210517  14:55,567.5,566.67,567.73,565.7,1724,
18718,20210517  15:00,566.8,568.2,568.63,565.95,2590,
18719,20210517  15:05,568.22,568.44,568.95,567.6,2217,
18720,20210517  15:10,568.46,567.24,568.71,566.44,2058,
18721,20210517  15:15,567.3,566.36,568.0,565.7,1815,
